trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-121.62819903902985,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-103.17661592437742,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-33.20341623423187,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-29.48064557714229,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-34.827290584816296,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-216.64644605635908,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-107.63559537399819,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-119.11425930295944,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-71.51053073379852,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-69.43946877177757,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-23.43144230389885,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-212.33646078092326,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-31.032040674061534,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,7,-82.58939559219554,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-43.06399593502586,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,17,-71.04002445055598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-27.68824656323656,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,1,-48.236397210216566,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,4.718806512375305,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-0.38102583400543,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,0,37.0844897556716,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,4,-65.07601766730109,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",20,14,11.307335256457721,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,25,-46.028557231616105,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,5.064217795746255,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-44.47293540823072,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,9,18.349944411416704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-14.875857478436245,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,1.4438103216973206,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,29.049798264751455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
