trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.91721468829695,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.39446391899217,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.55136545787006,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-144.52311124139402,"{0: 20, 1: 4, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.46270389079777,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.3814632260292,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.54191756178948,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,6,-45.22580906903943,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.53892545371224,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-211.1746065665242,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-328.4477314265591,"{0: 12, 1: 2, 2: 9, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.42377206331477,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.3337770966419,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.51013233649591,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,8,-102.18748930066698,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.35309659620007,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.6653140570877,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.68003886837609,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.4335909795758,"{0: 14, 1: 5, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.387396811346136,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,4,-96.79588879512757,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-45.95502139076557,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-73.09184636064174,"{0: 24, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.65473701590729,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.96760297274042,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.48599756597376,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.54488894726575,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.41138955040982,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.61003904404576,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.73874365816242,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
